,NewLat,NewLon,Time Seg,0.0,1.0,2.0,3.0,4.0,5.0,6.0,Analysis Neighborhood
0,37.7075,-122.47,Afternoon,2.0,11.0,0.0,1.0,0.0,0.0,0.0,Oceanview/Merced/Ingleside
1,37.7075,-122.47,Evening,0.0,2.0,3.0,1.0,2.0,0.0,0.0,Oceanview/Merced/Ingleside
2,37.7075,-122.47,Morning,2.0,3.0,0.0,0.0,0.0,0.0,1.0,Oceanview/Merced/Ingleside
3,37.7075,-122.47,Night,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Oceanview/Merced/Ingleside
4,37.7075,-122.4625,Afternoon,1.0,0.0,2.0,1.0,2.0,0.0,0.0,Outer Mission
5,37.7075,-122.4625,Evening,0.0,3.0,0.0,1.0,1.0,0.0,0.0,Outer Mission
6,37.7075,-122.4625,Morning,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Outer Mission
7,37.7075,-122.4625,Night,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Outer Mission
8,37.7075,-122.46000000000001,Evening,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Outer Mission
9,37.7075,-122.46000000000001,Morning,1.0,4.0,0.0,0.0,1.0,0.0,0.0,Outer Mission
10,37.7075,-122.455,Afternoon,1.0,3.0,1.0,1.0,2.0,0.0,0.0,Outer Mission
11,37.7075,-122.455,Evening,0.0,4.0,0.0,5.0,5.0,0.0,1.0,Outer Mission
12,37.7075,-122.455,Morning,1.0,1.0,4.0,6.0,4.0,0.0,2.0,Outer Mission
13,37.7075,-122.455,Night,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Outer Mission
14,37.7075,-122.4525,Morning,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Oceanview/Merced/Ingleside
15,37.7075,-122.4525,Night,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Oceanview/Merced/Ingleside
16,37.7075,-122.45,Afternoon,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Excelsior
17,37.7075,-122.45,Evening,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Excelsior
18,37.7075,-122.44500000000001,Afternoon,0.0,5.0,1.0,3.0,0.0,0.0,1.0,Excelsior
19,37.7075,-122.44500000000001,Evening,0.0,2.0,1.0,0.0,2.0,0.0,0.0,Excelsior
20,37.7075,-122.44500000000001,Morning,2.0,2.0,0.0,1.0,0.0,0.0,1.0,Excelsior
21,37.7075,-122.4425,Afternoon,0.0,5.0,1.0,1.0,1.0,0.0,1.0,Excelsior
