Neighborhood,Average of safe_day,Average of safe_night,Average of safe_rate
Hayes Valley,3.6538,2.8080,3.2538
Tenderloin,3.6491,2.6154,3.1930
South of Market,3.6316,2.6842,3.1579
Financial District/South Beach,3.7354,3.1574,3.4603
Potrero Hill,4.2581,3.0161,3.6371
Chinatown,4.3448,3.1429,3.7759
Nob Hill,4.0337,3.0244,3.5730
Russian Hill,4.0337,3.0244,3.5730
Mission,4.2086,3.1544,3.6942
Bernal Heights,4.2086,3.1544,3.6942
Excelsior,4.0776,3.2530,3.6724
Outer Mission,4.0556,3.2308,3.6389
Noe Valley,4.3750,3.4286,3.9141
Castro/Upper Market,4.3750,3.4286,3.9141
Pacific Heights,4.4648,3.6857,4.0845
Japantown,4.4648,3.6857,4.0845
Western Addition,4.4648,3.6857,4.0845
Sunset/Parkside,4.3529,3.6061,3.9853
Haight Ashbury,4.5570,3.5823,4.0696
Inner Richmond,4.5275,3.6778,4.1099
Outer Richmond,4.5346,3.8774,4.2107
Lincoln Park,4.5346,3.8774,4.2107
Golden Gate Park,4.5270,3.7703,4.1486
Seacliff,4.5270,3.7703,4.1486
Inner Sunset,4.4186,3.7241,4.0575
Marina,4.5263,3.8684,4.1974
Bayview Hunters Point,3.4429,2.6286,3.0357
West of Twin Peaks,4.6364,3.5909,4.1000
Presidio,4.5556,3.6667,4.1111
Presidio Heights,4.5625,3.7500,4.1563
Lone Mountain/USF,4.5556,3.6667,4.1111
Treasure Island,4.0000,3.5000,3.7500
Twin Peaks,4.4746,3.6429,4.0932
Glen Park,4.4746,3.6429,4.0932
Lakeshore,4.2500,3.6829,3.9886
North Beach,4.2500,3.3958,3.8229
Visitacion Valley,3.7600,2.7794,3.3067
Portola,3.7600,2.7794,3.3067
McLaren Park,3.7600,2.7794,3.3067
Mission Bay,4.4615,3.8333,4.1538
Oceanview/Merced/Ingleside,4.1528,3.4568,3.8138
,,,
